account,emotion,count
2NDammendment,negative,1
A1957Holland,negative,12
A1957Holland,positive,1
A1958Michel,negative,8
A1958Michel,neutral,1
A1963Norris,negative,4
A1963Norris,neutral,2
A32Black,negative,2
A32Black,positive,2
A43Horton,negative,5
A68Moulton,negative,5
A68Moulton,neutral,1
A81Beach,negative,5
A97Gentry,negative,8
A98Chavarria,negative,17
A98Chavarria,positive,1
AAttentativeB,negative,2
AAttentativeB,positive,1
ACandidD,negative,2
ACandidS,negative,4
ACuriousP,negative,12
ACuriousP,neutral,2
ACuriousP,positive,1
ACuriousWurzbacher,negative,7
ACuriousWurzbacher,positive,4
AFuriousGutierrez,negative,7
AFuriousGutierrez,neutral,1
AFuriousP,negative,9
AFuriousP,positive,2
AObnoxiousS,negative,4
AObnoxiousS,neutral,1
AObnoxiousWinebrenner,negative,5
AObnoxiousWinebrenner,neutral,1
AObnoxiousWinebrenner,positive,2
AaronDarkS,negative,1
AbernethyHorse8,negative,14
AbernethyHorse8,neutral,1
AbernethyHorse8,positive,1
AbrahamBird1964,negative,5
Adell2011Davis,negative,11
AdministratorSophie,negative,55
AdministratorSophie,neutral,5
AdministratorSophie,positive,3
Adrian76,negative,3
Adrian76,neutral,2
Adrian_Solis65,negative,2
Agnes1997,negative,9
Agnes1997,positive,1
Agnes_Odonell1976,negative,2
AguileraCat1971,negative,13
AguileraCat1971,neutral,1
AguileraCat1971,positive,1
AlanOctopus1999,negative,9
Albert1993H,negative,3
Albert1993H,neutral,1
Albert2001Popken,negative,6
Albert2001Popken,neutral,1
Albert85H,negative,6
Albert85H,positive,2
Albert_Powers55,negative,2
AldanaLion62,negative,15
AldanaLion62,positive,2
Alden1965B,negative,15
Alex1996Green,negative,6
AlexFish45,negative,8
AlexFish45,neutral,2
AlexFish45,positive,1
AlexanderLion2012,negative,7
AlexanderLion2012,positive,1
Alexander_Malsam35,negative,4
Alexander_Malsam35,positive,1
Alexandra_ThompsonHorse95,negative,5
AlfordWhale87,negative,3
AliceFuriousKilcrease,negative,2
AliceFuriousKilcrease,positive,2
Alice_Deleon66,negative,13
Alice_Deleon66,neutral,2
Alicia_White6,negative,10
Alicia_White6,positive,1
AlinaDog1974,negative,5
AlinaDog1974,neutral,1
AllenLion1992,negative,1
Allender95,negative,2
AlmaAttentativeS,negative,14
AlmaAttentativeS,positive,1
AlmaDarkTucker,negative,5
Alston1978,negative,8
Alston1978,positive,1
Alvin1988,negative,15
AlwaysSafePowerCompany,negative,39
AlwaysSafePowerCompany,neutral,7
AlwaysSafePowerCompany,positive,1
AlwaysUpToEat34,negative,2
Alyssa52Helton,negative,3
Alyssa52Helton,positive,1
Amanda1954R,negative,19
Amanda1965H,negative,2
Amanda1965H,positive,1
AmandaBear95,negative,10
AmandaFamousJames,negative,1
AmandaGuapoS,negative,19
AmandaGuapoS,neutral,2
AmandaGuapoS,positive,2
Amanda_HallDog38,negative,5
Amanda_HallDog38,positive,1
Amanda_Mcgriff89,negative,13
Amanda_Mcgriff89,positive,1
AmberTallR,negative,4
AmeliaBusyHoward,negative,4
AmeliaBusyHoward,neutral,1
AmeliaCuriousS,negative,1
Amy21Miller,negative,6
Amy21Miller,positive,2
AmyBird1953,negative,17
AmyBird1953,positive,2
AnastasiadesCat1,negative,3
Anderion,negative,5
Anderion,neutral,1
Andrea_CreamerBird1990,negative,14
Andrea_CreamerBird1990,positive,1
Andrea_RaglandBear1960,negative,12
Andrea_RaglandBear1960,positive,1
Andrew21,negative,5
Andrew21,neutral,1
Andrew21,positive,2
AndrewDarkB,negative,8
Angela1956,negative,16
Angela1956,neutral,2
Angela1956,positive,1
Angela58,negative,11
Angela58,neutral,2
Angela74Mederios,negative,11
Angela74Mederios,positive,1
AngelaLion53,negative,1
Angelica2019Hamiel,negative,4
AngieLazyBroenneke,negative,11
AngieLazyBroenneke,neutral,1
AnhBird2009,negative,7
Anjanette_HalesWhale2010,negative,5
Ann13Lafosse,negative,6
Ann13Lafosse,neutral,1
AnnaBear42,negative,5
AnneBusyLazo,negative,3
AnnetteBusyLema,negative,6
AnnetteMouse1955,negative,13
AnnetteMouse1955,neutral,1
Annie2002Leavitt,negative,9
Annie2002Leavitt,positive,2
Annie45Reese,negative,11
Annie45Reese,positive,2
Anthony1996Foster,negative,6
Anthony1996Foster,neutral,1
Anthony1996Foster,positive,1
AnthonyAttentativeM,negative,10
AnthonyAttentativeM,neutral,1
AnthonyAttentativeM,positive,2
AnthonyLion24,negative,12
AntiRelegation 8,negative,1
Antonio2011Stewart,negative,11
Antonio2011Stewart,positive,2
Antonio66F,negative,6
April1965,negative,12
April1965,neutral,1
April1994,negative,6
AprilFamousApolo,negative,2
ArianaLion41,negative,3
ArianaLion41,positive,1
Armando_ReganHorse33,negative,5
Armando_ReganHorse33,neutral,1
ArnoldFish1969,negative,7
Arnold_Brown1965,negative,8
Arnold_Brown1965,neutral,1
Arnold_Brown1965,positive,2
Arrington1967,negative,13
ArtistLalisaManoban,negative,3
ArtistLalisaManoban,positive,1
Ashley2019Becher,negative,6
Ashley2019Becher,neutral,2
AttentativeACouch,negative,3
AttentativeACouch,positive,2
AttentativeALight1983,negative,1
AttentativeAPlate1991,negative,7
