word,count
AlwaysSafePowerCompany,391
re,335
the,139
to,128
I,100
you,80
in,58
of,55
us,54
my,51
help,50
and,48
water,48
are,47
for,42
is,41
have,39
a,36
about,33
YOU,33
been,31
ARE,31
what,29
be,29
cheryl,28
free,27
too,27
donít,27
that,26
why,26
had,26
see,24
it,23
any,22
food,21
cat,21
when,21
this,21
out,20
tjehe,20
where,19
really,18
never,18
our,18
know,18
FOR,17
more,17
has,17
with,17
problems,17
want,16
some,16
fix,15
safe,15
we,15
bet,15
situation,15
still,14
havent,14
power,14
people,14
was,14
next,13
got,13
Ive,13
doing,13
waiting,13
sitting,13
as,13
her,13
AND,13
yuo,13
they,13
here,13
finally,12
well,12
will,12
good,12
My,12
rubble,12
thanks,12
bottled,12
propogonda,12
THE,12
WOARK,11
brain,11
put,11
going,11
itís,11
WHO,11
youre,11
chemicals,11
DO,11
radiation,10
ones,10
not,10
just,10
nothing,10
questions,10
yuor,10
rescue,10
What,10
workers,10
wheres,10
Is,10
town,10
tjeo,10
selling,10
thought,10
tjeheyre,10
answered,10
devil,10
hot,9
NeverSafePowerCompany,9
fault,9
donate,9
DYING,9
Ill,9
many,9
looking,9
Some,9
i,9
Thanks,9
WE,9
clearing,9
advertising,9
YINT,9
WinsAlwaysSafePowerCompany,9
boiling,9
100k,9
switch,9
theyre,9
u,9
tho,9
users,9
saying,9
using,9
yo,9
your,9
daughter,8
Safe,8
hmmmmmmmmmm,8
things,8
high,8
nice,8
Pales,8
though,8
Power,8
doesnt,8
heard,8
done,8
donut,8
recording,8
BURN,8
WATCHING,8
rn,8
even,8
Umm,8
best,8
gone,8
saving,8
TV,8
from,8
school,8
friend,8
Always,8
say,8
palnt,8
Can,8
casualties,8
ages,8
DoNotWant,8
sooooooo,8
but,8
there,8
Greatwhen,8
work,8
Are,8
CEO,8
offishuls,8
could,8
on,8
its,8
theyree,8
videos,8
dancing,8
buildingsÖ,7
THUMB,7
neihborís,7
something,7
cant,7
emergency,7
danger,7
collapsed,7
coming,7
contact,7
back,7
under,7
found,7
Powerís,7
monopoly,7
DANCING,7
maintain,7
number,7
long,7
Do,7
FTWAND,7
less,7
keep,7
IT,7
KNOW,7
Much,7
People,7
LAUGHING,7
up,7
havenít,7
getting,7
restored,7
trapped,6
THEY,6
team,6
TO,6
TRUTH,6
telling,6
THERE,6
their,6
all,6
went,6
TAKE,6
EXPERIMENTS,6
WANTS,6
truth,6
GOVERNMENT,6
HSS,6
IS,6
So,6
volunteers,6
try,6
THEYRE,6
OUT,6
OVER,6
RUN,6
We,6
neither,6
can,6
hecko,6
jsutust,6
house1,6
do,6
didnt,6
single,6
or,6
seen,6
one,6
issue,6
send,6
carbon,6
mange,6
monoxide,6
neighborís,6
3,5
search,5
safety,5
St,5
half,5
rays,5
Please,5
radio,5
party,5
line,5
wait,5
no,5
James,5
middle,5
look,5
off,5
volunteers1,5
leaking,5
other,5
survivors,5
down,5
stations,5
disaster,5
starting,5
theres,5
set,5
solution,4
shelter,4
covered,4
sounds,4
case,4
least,4
letting,4
use,4
like,4
by,4
CreakyConstruct,4
now,4
BrinG,4
Bottled,4
At,4
parking,4
hey,4
guys,4
garage,4
believe,4
rains,4
livelihood,3
eyes,3
Town,3
having,3
might,3
fish,3
banged,3
mutating,3
taxis,3
ANYTHING,3
into,3
Old,3
youíre,3
CITY,2
DESTROYYING,2
OUR,2
WHY,2
Shut,2
hit,1
lady,1
street,1
pole,1
collapsing,1
she,1
across,1
The,1
frogs,1
fun,1
them,1
Bride2Bee,1
almost,1
said,1
then,1
ligthing,1
arenít,1
erradyating,1
fire,1
